price,,,,,,,,,,,,,
State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AK,1745,1856,1908,1909,1957,1940,1903,1900,1967,2016,1990,2340,2420
AL,1003,947,945,1022,1103,958,1016,1007,1042,1068,1054,1240,1282
AR,809,850,929,953,1075,1045,1081,1083,1121,1149,1134,1334,1379
AZ,1218,1162,1201,1210,1222,1227,1260,1263,1307,1340,1323,1556,1609
CA,2059,2013,2031,2132,2237,2345,2465,2469,2555,2619,2585,3040,3143
CO,1344,1480,1498,1640,1761,1977,1993,1982,2051,2102,2075,2440,2523
CT,1728,1741,1745,1832,1775,1904,1910,1906,1973,2022,1996,2347,2427
DC,2203,2335,2397,2488,2452,2534,2560,2569,2659,2725,2690,3163,3271
DE,1285,1220,1207,1158,1155,1107,1150,1147,1187,1217,1201,1412,1460
FL,1430,1454,1457,1583,1621,1717,1786,1789,1852,1898,1873,2203,2278
GA,1250,1231,1219,1260,1335,1385,1438,1441,1491,1528,1508,1773,1833
HI,2088,2141,2134,2257,2341,2495,2400,2397,2481,2543,2510,2952,3052
IA,1187,1193,1158,1179,1187,1236,1211,1187,1229,1260,1244,1463,1513
ID,963,1003,1016,1004,1097,1110,1150,1156,1196,1226,1210,1423,1471
IL,1776,1676,1619,1708,1834,1781,1786,1789,1852,1898,1873,2203,2278
IN,1115,1215,1168,1183,1251,1193,1233,1223,1266,1298,1281,1506,1557
KS,1097,1265,1327,1350,1409,1391,1358,1369,1417,1452,1433,1685,1742
KY,1125,1137,1018,1175,1213,1243,1237,1228,1271,1303,1286,1512,1563
LA,1201,1177,1345,1461,1376,1421,1347,1348,1395,1430,1411,1659,1715
MA,2036,2226,2390,2511,2607,2614,2658,2648,2741,2810,2773,3261,3372
MD,1840,1861,1818,1920,1948,1968,2007,2006,2076,2128,2100,2470,2554
ME,854,883,925,1065,1119,1157,1192,1169,1210,1240,1224,1439,1488
MI,1276,1317,1333,1361,1371,1438,1456,1447,1498,1535,1515,1782,1843
MN,1493,1518,1537,1586,1596,1636,1682,1688,1747,1791,1768,2079,2150
MS,1030,1095,906,1032,1113,1176,1221,1228,1271,1303,1286,1512,1563
MT,1107,1133,1065,1078,977,1113,1126,1129,1169,1198,1182,1390,1437
NC,1083,1056,1182,1202,1198,1250,1262,1267,1311,1344,1327,1561,1614
ND,913,924,1135,1241,1294,1275,1245,1223,1266,1298,1281,1506,1557
NE,1062,1083,1009,1092,1179,1249,1272,1267,1311,1344,1327,1561,1614
NH,1327,1340,1395,1496,1516,1684,1715,1714,1774,1818,1794,2110,2182
NJ,2080,2156,2066,1977,2058,2156,2363,2372,2455,2516,2483,2920,3019
NM,1066,1048,980,1009,1047,1084,895,896,927,950,938,1103,1141
NV,1227,1171,1165,1197,1255,1293,1432,1425,1475,1512,1492,1755,1815
NY,1430,1457,1545,1593,1593,1491,1539,1522,1575,1614,1593,1873,1937
OH,1085,1013,1077,1129,1146,1189,1184,1183,1224,1255,1239,1457,1507
OK,896,897,904,938,968,965,970,965,999,1024,1011,1189,1229
OR,1304,1307,1332,1454,1529,1654,1779,1768,1830,1876,1852,2178,2252
PA,1252,1322,1333,1331,1358,1399,1381,1385,1433,1469,1450,1705,1763
RI,1640,1534,1566,1620,1643,1844,1853,1842,1906,1954,1929,2269,2346
SC,1113,997,1088,1048,1152,1172,1126,1113,1152,1181,1166,1371,1418
SD,1178,1179,1049,1043,1170,1229,1220,1244,1288,1320,1303,1532,1584
TN,1156,1165,1167,1265,1341,1468,1535,1535,1589,1629,1608,1891,1955
TX,1317,1391,1435,1507,1634,1651,1670,1663,1721,1764,1741,2047,2117
UT,1212,1284,1275,1411,1375,1446,1524,1506,1559,1598,1577,1855,1918
VA,1441,1469,1495,1498,1535,1544,1536,1536,1590,1630,1609,1892,1956
VT,1315,1407,1315,1428,1390,1447,1494,1495,1547,1586,1565,1840,1903
WA,1472,1490,1516,1598,1679,1748,1882,1884,1950,1999,1973,2320,2399
WI,1037,1311,1374,1371,1373,1460,1475,1483,1535,1573,1553,1826,1888
WV,1003,935,1005,951,970,1010,1008,1012,1047,1073,1059,1245,1287
