State,"Overall Homeless, 2022","Overall Homeless, 2021","Overall Homeless, 2020","Overall Homeless, 2019","Overall Homeless, 2018","Overall Homeless, 2017","Overall Homeless, 2016","Overall Homeless, 2015","Overall Homeless, 2014","Overall Homeless, 2013","Overall Homeless, 2012"
AK,"2,320","1,949","1,949","1,907","2,016","1,845","1,940","1,956","1,784","1,946","1,913"
AL,"3,752","2,556","3,351","3,261","3,434","3,793","4,111","3,970","4,561","4,689","5,209"
AR,"2,459","2,139","2,366","2,717","2,712","2,467","2,463","2,560","2,936","3,812","4,214"
AS, , , , , , , , , , , 
AZ,"13,553","5,460","10,979","10,007","9,865","8,947","9,707","9,896","10,495","10,562","11,302"
CA,"171,521","57,468","161,548","151,278","129,972","131,532","118,142","115,738","113,952","118,552","120,098"
CO,"10,397","8,544","9,846","9,619","10,857","10,940","10,550","9,953","10,028","9,754","16,768"
CT,"2,930","2,593","2,905","3,033","3,976","3,388","3,902","4,047","4,450","4,448","4,209"
DC,"4,410","5,111","6,380","6,521","6,904","7,473","8,350","7,298","7,748","6,865","6,954"
DE,"2,369","1,579","1,165",921,"1,082",994,"1,070",953,901,946,"1,008"
FL,"25,959","21,121","27,487","28,328","31,030","32,190","33,559","35,900","41,542","47,862","55,170"
GA,"10,689","5,486","10,234","10,443","9,499","10,174","12,909","13,790","16,521","16,971","20,516"
GU,"1,087",199,790,875,854,852,"1,085","1,280","1,356","1,271","1,301"
HI,"5,967","2,490","6,458","6,412","6,530","7,220","7,921","7,620","6,918","6,335","6,246"
IA,"2,419","2,534","2,647","2,315","2,749","2,756","3,064","3,081","3,122","3,084","2,928"
ID,"1,998","1,889","2,315","2,315","2,012","2,037","2,247","1,966","2,104","1,781","1,968"
IL,"9,212","7,958","10,431","10,199","10,643","10,798","11,590","13,177","13,107","13,425","14,144"
IN,"5,449","4,975","5,625","5,471","5,258","5,438","5,798","5,863","5,971","6,096","6,259"
KS,"2,397","1,803","2,449","2,381","2,216","2,287","2,255","2,588","2,783","2,693","2,684"
KY,"3,984","2,544","4,011","4,079","3,688","4,025","4,237","4,538","5,089","5,245","5,230"
LA,"7,373","2,131","3,173","2,941","3,059","3,305","3,994","4,081","4,606","5,226","7,772"
MA,"15,507","15,079","17,975","18,471","20,068","17,565","19,608","21,135","21,237","19,029","17,501"
MD,"5,349","4,550","6,360","6,561","7,144","7,247","7,689","8,390","7,856","8,205","9,454"
ME,"4,411","2,063","2,097","2,106","2,516","2,280","2,241","2,372","2,726","3,016","2,393"
MI,"8,206","6,757","8,638","8,575","8,351","9,051","9,316","10,516","12,227","11,527","12,592"
MN,"7,917","6,775","7,940","7,977","7,243","7,668","7,341","7,546","8,377","8,214","7,744"
MO,"5,992","4,926","6,527","6,179","5,883","6,037","6,194","6,482","7,282","8,581","10,237"
MP,"1,207",2,"1,207","1,807","1,044",672, , , , , 
MS,"1,196",626,"1,107","1,184","1,352","1,472","1,738","1,983","2,226","2,403","2,413"
MT,"1,585","1,801","1,545","1,357","1,405","1,529","1,418","1,709","1,745","1,878","1,833"
NC,"9,382","7,249","9,280","9,314","9,268","8,962","9,559","10,685","11,491","12,168","13,524"
ND,610,548,541,557,542,"1,089",923,"1,305","1,258","2,069",688
NE,"2,246","1,935","2,404","2,365","2,421","2,501","2,754","2,744","3,026","3,145","3,789"
NH,"1,605","1,491","1,675","1,396","1,450","1,456","1,366","1,445","1,376","1,447","1,496"
NJ,"8,752","8,262","9,662","8,862","9,398","8,536","8,895","10,098","11,671","12,002","13,025"
NM,"2,560","2,747","3,333","3,241","2,551","2,482","2,263","2,629","2,746","2,819","3,245"
NV,"7,618","7,090","6,900","7,169","7,544","7,833","7,398","8,743","8,582","7,039","8,497"
