State,2022_homelesess,2021_homelesess,2020_homelesess,2019_homelesess,2018_homelesess,2017_homelesess,2016_homelesess,2015_homelesess,2014_homelesess,2013_homelesess,2012_homelesess,2012_rental,2013_rental,2014_rental,2015_rental,2016_rental,2017_rental,2018_rental,2019_rental,2020_rental,2021_rental,2022_rental
AK,2320,1949,1949,1907,2016,1845,1940.0,1956.0,1784.0,1946.0,1913.0,1908.0,1909.0,1957.0,1940.0,1903.0,1900.0,1967.0,2016.0,1990.0,2340.0,2420.0
AL,3752,2556,3351,3261,3434,3793,4111.0,3970.0,4561.0,4689.0,5209.0,945.0,1022.0,1103.0,958.0,1016.0,1007.0,1042.0,1068.0,1054.0,1240.0,1282.0
AR,2459,2139,2366,2717,2712,2467,2463.0,2560.0,2936.0,3812.0,4214.0,929.0,953.0,1075.0,1045.0,1081.0,1083.0,1121.0,1149.0,1134.0,1334.0,1379.0
AZ,13553,5460,10979,10007,9865,8947,9707.0,9896.0,10495.0,10562.0,11302.0,1201.0,1210.0,1222.0,1227.0,1260.0,1263.0,1307.0,1340.0,1323.0,1556.0,1609.0
CA,171521,57468,161548,151278,129972,131532,118142.0,115738.0,113952.0,118552.0,120098.0,2031.0,2132.0,2237.0,2345.0,2465.0,2469.0,2555.0,2619.0,2585.0,3040.0,3143.0
CO,10397,8544,9846,9619,10857,10940,10550.0,9953.0,10028.0,9754.0,16768.0,1498.0,1640.0,1761.0,1977.0,1993.0,1982.0,2051.0,2102.0,2075.0,2440.0,2523.0
CT,2930,2593,2905,3033,3976,3388,3902.0,4047.0,4450.0,4448.0,4209.0,1745.0,1832.0,1775.0,1904.0,1910.0,1906.0,1973.0,2022.0,1996.0,2347.0,2427.0
DC,4410,5111,6380,6521,6904,7473,8350.0,7298.0,7748.0,6865.0,6954.0,2397.0,2488.0,2452.0,2534.0,2560.0,2569.0,2659.0,2725.0,2690.0,3163.0,3271.0
DE,2369,1579,1165,921,1082,994,1070.0,953.0,901.0,946.0,1008.0,1207.0,1158.0,1155.0,1107.0,1150.0,1147.0,1187.0,1217.0,1201.0,1412.0,1460.0
FL,25959,21121,27487,28328,31030,32190,33559.0,35900.0,41542.0,47862.0,55170.0,1457.0,1583.0,1621.0,1717.0,1786.0,1789.0,1852.0,1898.0,1873.0,2203.0,2278.0
GA,10689,5486,10234,10443,9499,10174,12909.0,13790.0,16521.0,16971.0,20516.0,1219.0,1260.0,1335.0,1385.0,1438.0,1441.0,1491.0,1528.0,1508.0,1773.0,1833.0
HI,5967,2490,6458,6412,6530,7220,7921.0,7620.0,6918.0,6335.0,6246.0,2134.0,2257.0,2341.0,2495.0,2400.0,2397.0,2481.0,2543.0,2510.0,2952.0,3052.0
IA,2419,2534,2647,2315,2749,2756,3064.0,3081.0,3122.0,3084.0,2928.0,1158.0,1179.0,1187.0,1236.0,1211.0,1187.0,1229.0,1260.0,1244.0,1463.0,1513.0
ID,1998,1889,2315,2315,2012,2037,2247.0,1966.0,2104.0,1781.0,1968.0,1016.0,1004.0,1097.0,1110.0,1150.0,1156.0,1196.0,1226.0,1210.0,1423.0,1471.0
IL,9212,7958,10431,10199,10643,10798,11590.0,13177.0,13107.0,13425.0,14144.0,1619.0,1708.0,1834.0,1781.0,1786.0,1789.0,1852.0,1898.0,1873.0,2203.0,2278.0
IN,5449,4975,5625,5471,5258,5438,5798.0,5863.0,5971.0,6096.0,6259.0,1168.0,1183.0,1251.0,1193.0,1233.0,1223.0,1266.0,1298.0,1281.0,1506.0,1557.0
KS,2397,1803,2449,2381,2216,2287,2255.0,2588.0,2783.0,2693.0,2684.0,1327.0,1350.0,1409.0,1391.0,1358.0,1369.0,1417.0,1452.0,1433.0,1685.0,1742.0
KY,3984,2544,4011,4079,3688,4025,4237.0,4538.0,5089.0,5245.0,5230.0,1018.0,1175.0,1213.0,1243.0,1237.0,1228.0,1271.0,1303.0,1286.0,1512.0,1563.0
LA,7373,2131,3173,2941,3059,3305,3994.0,4081.0,4606.0,5226.0,7772.0,1345.0,1461.0,1376.0,1421.0,1347.0,1348.0,1395.0,1430.0,1411.0,1659.0,1715.0
MA,15507,15079,17975,18471,20068,17565,19608.0,21135.0,21237.0,19029.0,17501.0,2390.0,2511.0,2607.0,2614.0,2658.0,2648.0,2741.0,2810.0,2773.0,3261.0,3372.0
MD,5349,4550,6360,6561,7144,7247,7689.0,8390.0,7856.0,8205.0,9454.0,1818.0,1920.0,1948.0,1968.0,2007.0,2006.0,2076.0,2128.0,2100.0,2470.0,2554.0
ME,4411,2063,2097,2106,2516,2280,2241.0,2372.0,2726.0,3016.0,2393.0,925.0,1065.0,1119.0,1157.0,1192.0,1169.0,1210.0,1240.0,1224.0,1439.0,1488.0
